,time£¨s£©,temperature£¨K£©
,10.29,294.03521
,10.3,294.06016
,10.31,294.08474
,10.32,294.10895
,10.33,294.13279
,10.34,294.15628
,10.35,294.17942
,10.36,294.20221
,10.37,294.22466
,10.38,294.24677
,10.39,294.26855
,10.4,294.28999
,10.41,294.31112
,10.42,294.33192
,10.43,294.35241
,10.44,294.37259
,10.45,294.39247
,10.46,294.41204
,10.47,294.43132
,10.48,294.4503
,10.49,294.469
,10.5,294.48741
,10.51,294.50555
,10.52,294.52341
,10.53,294.54099
,10.54,294.55832
,10.55,294.57538
,10.56,294.59218
,10.57,294.60872
,10.58,294.62501
,10.59,294.64106
,10.6,294.65686
,10.61,294.67243
,10.62,294.68775
,10.63,294.70285
,10.64,294.71771
,10.65,294.73235
,10.66,294.74677
,10.67,294.76097
,10.68,294.77495
,10.69,294.78872
,10.7,294.80229
,10.71,294.81564
,10.72,294.82879
,10.73,294.84175
,10.74,294.8545
,10.75,294.86707
,10.76,294.87944
,10.77,294.89162
,10.78,294.90362
,10.79,294.91544
,10.8,294.92708
,10.81,294.93854
,10.82,294.94983
,10.83,294.96094
,10.84,294.97189
,10.85,294.98267
,10.86,294.99329
,10.87,295.00374
,10.88,295.01404
,10.89,295.02418
,10.9,295.03417
,10.91,295.044
,10.92,295.05369
,10.93,295.06323
,10.94,295.07262
,10.95,295.08187
,10.96,295.09099
,10.97,295.09996
,10.98,295.10879
,10.99,295.1175
,11,295.12607
,11.01,295.13451
,11.02,295.14282
,11.03,295.151
,11.04,295.15907
,11.05,295.16701
,11.06,295.17482
,11.07,295.18252
,11.08,295.19011
,11.09,295.19757
,11.1,295.20493
,11.11,295.21217
,11.12,295.2193
,11.13,295.22633
,11.14,295.23325
,11.15,295.24006
,11.16,295.24677
,11.17,295.25338
,11.18,295.25988
,11.19,295.26629
,11.2,295.2726
,11.21,295.27882
,11.22,295.28494
,11.23,295.29097
,11.24,295.2969
,11.25,295.30275
,11.26,295.30851
,11.27,295.31418
,11.28,295.31976
,11.29,295.32526
,11.3,295.33068
,11.31,295.33601
,11.32,295.34126
,11.33,295.34643
,11.34,295.35153
,11.35,295.35655
,11.36,295.36149
,11.37,295.36635
,11.38,295.37114
,11.39,295.37586
,11.4,295.38051
,11.41,295.38509
,11.42,295.38959
,11.43,295.39403
,11.44,295.39841
,11.45,295.40271
,11.46,295.40695
,11.47,295.41113
,11.48,295.41524
,11.49,295.41929
,11.5,295.42328
,11.51,295.4272
,11.52,295.43107
,11.53,295.43488
,11.54,295.43863
,11.55,295.44233
,11.56,295.44596
,11.57,295.44955
,11.58,295.45308
,11.59,295.45655
,11.6,295.45997
,11.61,295.46334
,11.62,295.46666
,11.63,295.46993
,11.64,295.47315
,11.65,295.47632
,11.66,295.47944
,11.67,295.48252
,11.68,295.48555
,11.69,295.48853
,11.7,295.49147
,11.71,295.49436
,11.72,295.49721
,11.73,295.50001
,11.74,295.50277
,11.75,295.50549
,11.76,295.50817
,11.77,295.51081
,11.78,295.51341
,11.79,295.51597
,11.8,295.51849
,11.81,295.52097
,11.82,295.52342
,11.83,295.52582
,11.84,295.52819
,11.85,295.53053
,11.86,295.53283
,11.87,295.53509
,11.88,295.53732
,11.89,295.53952
,11.9,295.54168
,11.91,295.54381
,11.92,295.54591
,11.93,295.54797
,11.94,295.55001
,11.95,295.55201
,11.96,295.55399
,11.97,295.55593
,11.98,295.55784
,11.99,295.55973
,12,295.56158
,12.01,295.56341
,12.02,295.56521
,12.03,295.56698
,12.04,295.56873
,12.05,295.57045
,12.06,295.57214
,12.07,295.57381
,12.08,295.57545
,12.09,295.57707
,12.1,295.57866
,12.11,295.58023
,12.12,295.58177
,12.13,295.58329
,12.14,295.58479
,12.15,295.58627
,12.16,295.58772
,12.17,295.58915
,12.18,295.59056
,12.19,295.59195
,12.2,295.59332
,12.21,295.59466
,12.22,295.59599
,12.23,295.59729
,12.24,295.59858
,12.25,295.59984
,12.26,295.60109
,12.27,295.60232
,12.28,295.60353
,12.29,295.60472
,12.3,295.60589
,12.31,295.60705
,12.32,295.60818
,12.33,295.6093
,12.34,295.61041
,12.35,295.61149
,12.36,295.61256
,12.37,295.61362
,12.38,295.61465
,12.39,295.61568
,12.4,295.61668
,12.41,295.61767
,12.42,295.61865
,12.43,295.61961
,12.44,295.62056
,12.45,295.62149
,12.46,295.62241
,12.47,295.62331
,12.48,295.6242
,12.49,295.62508
,12.5,295.62594
,12.51,295.62679
,12.52,295.62763
,12.53,295.62846
,12.54,295.62927
,12.55,295.63007
,12.56,295.63086
,12.57,295.63163
,12.58,295.6324
,12.59,295.63315
,12.6,295.63389
,12.61,295.63462
,12.62,295.63534
,12.63,295.63605
,12.64,295.63674
,12.65,295.63743
,12.66,295.63811
,12.67,295.63877
,12.68,295.63943
,12.69,295.64007
,12.7,295.64071
,12.71,295.64134
,12.72,295.64195
,12.73,295.64256
,12.74,295.64316
,12.75,295.64375
,12.76,295.64433
,12.77,295.6449
,12.78,295.64546
,12.79,295.64602
,12.8,295.64656
,12.81,295.6471
,12.82,295.64763
,12.83,295.64815
,12.84,295.64866
,12.85,295.64917
,12.86,295.64967
,12.87,295.65016
,12.88,295.65064
,12.89,295.65112
,12.9,295.65159
,12.91,295.65205
,12.92,295.6525
,12.93,295.65295
,12.94,295.65339
,12.95,295.65382
,12.96,295.65425
,12.97,295.65467
,12.98,295.65508
,12.99,295.65549
,13,295.65589
,13.01,295.65629
,13.02,295.65668
,13.03,295.65706
,13.04,295.65744
,13.05,295.65781
,13.06,295.65818
,13.07,295.65854
,13.08,295.6589
,13.09,295.65925
,13.1,295.65959
,13.11,295.65993
,13.12,295.66027
,13.13,295.6606
,13.14,295.66092
,13.15,295.66124
,13.16,295.66156
,13.17,295.66186
,13.18,295.66217
,13.19,295.66247
,13.2,295.66277
,13.21,295.66306
,13.22,295.66335
,13.23,295.66363
,13.24,295.66391
,13.25,295.66418
,13.26,295.66445
,13.27,295.66472
,13.28,295.66498
,13.29,295.66524
,13.3,295.66549
,13.31,295.66574
,13.32,295.66599
,13.33,295.66623
,13.34,295.66647
,13.35,295.6667
,13.36,295.66693
,13.37,295.66716
,13.38,295.66739
,13.39,295.66761
,13.4,295.66783
,13.41,295.66804
,13.42,295.66825
,13.43,295.66846
,13.44,295.66867
,13.45,295.66887
,13.46,295.66907
,13.47,295.66926
,13.48,295.66946
,13.49,295.66965
,13.5,295.66983
,13.51,295.67002
,13.52,295.6702
,13.53,295.67038
,13.54,295.67055
,13.55,295.67073
,13.56,295.6709
,13.57,295.67106
,13.58,295.67123
,13.59,295.67139
,13.6,295.67155
,13.61,295.67171
,13.62,295.67187
,13.63,295.67202
,13.64,295.67217
,13.65,295.67232
,13.66,295.67247
,13.67,295.67261
,13.68,295.67275
,13.69,295.67289
,13.7,295.67303
,13.71,295.67317
,13.72,295.6733
,13.73,295.67343
,13.74,295.67356
,13.75,295.67369
,13.76,295.67381
